Date,Year,Month,Day,Location,Platform,Photographer,Encounter #,File #,# fins,Fin#,Q (0:lowest to 2:best),ID,Catalogue,Cert. (yes or no),Angle (0 to 360°),Fin exposure (0 to 2) ,Back exposure (0 to 2),Distinctiveness dorsal fin,Distinctiveness scars,Re-identifyable,Juvenile/ calf,Juvenile/ calf on the side,Notes
10.08.17,2017,8,10,Andenes,Whale2Sea,Marten Bril,1,DSC9144,1,1,2,GG027,YES,YES,180,2,1,0,2,YES,NO,NO,NA
10.08.17,2017,8,10,Andenes,Whale2Sea,Marten Bril,1,DSC9143,1,1,2,GG027,YES,YES,180,2,1,0,2,YES,NO,NO,NA
10.08.17,2017,8,10,Andenes,Whale2Sea,Marten Bril,1,DSC9153,1,1,2,GG028,YES,YES,150,2,2,2,2,YES,NO,NO,NA
10.08.17,2017,8,10,Andenes,Whale2Sea,Marten Bril,1,DSC9152,1,1,2,GG028,YES,YES,150,2,2,2,2,YES,NO,NO,NA
10.08.17,2017,8,10,Andenes,Whale2Sea,Marten Bril,1,DSC9162,1,1,1,GG_t007,NO,YES,165,2,0,0,1,NO,NO,NO,NA
10.08.17,2017,8,10,Andenes,Whale2Sea,Marten Bril,1,DSC9159,1,1,1,GG_t007,NO,YES,150,2,1,0,1,NO,NO,NO,NA
10.08.17,2017,8,10,Andenes,Whale2Sea,Marten Bril,1,DSC9166,1,1,1,GG029,YES,YES,180,2,0,2,2,YES,NO,NO,NA
10.08.17,2017,8,10,Andenes,Whale2Sea,Marten Bril,1,DSC9222,2,1,2,GG054,YES,YES,165,2,1,1,0,YES,NO,YES,NA
10.08.17,2017,8,10,Andenes,Whale2Sea,Marten Bril,1,DSC9254,1,1,1,GG030,YES,YES,165,2,1,2,0,YES,NO,NO,NA
10.08.17,2017,8,10,Andenes,Whale2Sea,Marten Bril,1,DSC9237,1,1,2,GG030,YES,YES,345,2,1,2,1,YES,NO,NO,NA
10.08.17,2017,8,10,Andenes,Whale2Sea,Marten Bril,1,DSC9231,1,1,2,GG030,YES,YES,30,2,2,2,1,YES,NO,YES,NA
08.09.17,2017,9,8,Andenes,Whale Safari,NA,1,IMG_8885,1,1,1,GG001,YES,YES,180,2,1,0,2,YES,NO,NO,NA
08.09.17,2017,9,8,Andenes,Whale Safari,NA,1,IMG_8884,1,1,1,GG001,YES,YES,165,2,1,0,2,YES,NO,NO,NA
08.09.17,2017,9,8,Andenes,Whale Safari,NA,1,IMG_8854,4,3,1,GG014,YES,YES,180,2,1,1,1,YES,NO,NO,NA
08.09.17,2017,9,8,Andenes,Whale Safari,NA,1,IMG_8853,3,2,1,GG014,YES,YES,180,2,1,1,2,YES,NO,NO,NA
