year,month,dist_km,year_month,year_month_d
2023,4,0.08598830898706229,2023-04,2023-04-01
2023,5,0.41997116311856625,2023-05,2023-05-01
2023,6,3.778276291292554,2023-06,2023-06-01
2023,7,5.091570045269951,2023-07,2023-07-01
2023,8,4.178731983964363,2023-08,2023-08-01
2023,9,1.0507376793340133,2023-09,2023-09-01
2023,10,0.9608082632472156,2023-10,2023-10-01
2023,11,0.3363980423209554,2023-11,2023-11-01
2024,3,0.4929712504893889,2024-03,2024-03-01
2024,5,0.21042590491101484,2024-05,2024-05-01
2024,6,1.7636725843413978,2024-06,2024-06-01
2024,7,1.6780657286324727,2024-07,2024-07-01
2024,8,3.307241759625339,2024-08,2024-08-01
2024,9,0.5771202401218284,2024-09,2024-09-01
2024,10,0.10765282905139653,2024-10,2024-10-01
2024,11,1.1826906281410624e-4,2024-11,2024-11-01
2024,12,0.0010712098619782078,2024-12,2024-12-01
